Date	Open	High	Low	Close*	Adj. close**	Volume
13 Dec 2021	345.25	345.30	335.00	335.00	335.00	36,604,544
10 Dec 2021	342.00	347.15	341.15	342.60	342.60	44,281,078
09 Dec 2021	347.35	348.40	340.20	343.55	343.55	65,304,586
08 Dec 2021	348.60	351.10	344.10	348.70	348.70	52,399,146
07 Dec 2021	349.05	352.03	347.75	350.90	350.90	43,238,986
06 Dec 2021	344.00	350.15	343.20	346.50	346.50	43,105,316
03 Dec 2021	345.00	346.37	340.80	340.85	340.85	53,379,455
02 Dec 2021	327.10	338.30	326.24	336.60	336.60	76,610,491
01 Dec 2021	-	-	-	-	-	-
30 Nov 2021	320.30	329.10	317.65	325.45	325.45	98,727,251
29 Nov 2021	326.00	334.00	318.80	327.70	327.70	77,994,066
26 Nov 2021	319.00	328.10	310.53	317.65	317.65	106,509,613
25 Nov 2021	344.75	345.85	342.55	344.75	344.75	39,639,265
24 Nov 2021	342.00	346.90	340.50	344.50	344.50	47,066,212
23 Nov 2021	330.10	342.40	330.05	339.40	339.40	50,332,934
22 Nov 2021	327.00	334.90	324.20	334.40	334.40	51,379,697
19 Nov 2021	341.80	342.65	323.40	326.55	326.55	93,905,289
18 Nov 2021	335.25	338.45	333.57	336.45	336.45	33,627,717
17 Nov 2021	343.25	345.85	340.90	342.00	342.00	50,057,127
16 Nov 2021	343.30	350.60	342.55	344.55	344.55	79,506,785
15 Nov 2021	339.50	345.90	336.70	341.55	341.55	38,450,672
12 Nov 2021	342.60	344.20	340.25	340.90	340.90	72,994,977
11 Nov 2021	342.60	347.30	339.80	345.15	345.15	54,009,703
11 Nov 2021	4.1045 Dividend
10 Nov 2021	346.00	353.42	345.35	347.80	343.70	77,184,530
09 Nov 2021	344.60	348.25	341.80	344.45	340.39	33,226,420
08 Nov 2021	345.65	350.65	344.25	345.25	341.18	36,700,886
05 Nov 2021	337.55	346.70	336.20	345.40	341.32	38,450,352
04 Nov 2021	334.85	342.85	333.84	339.50	335.49	105,959,776
03 Nov 2021	339.55	342.95	334.00	334.85	330.90	83,459,281
02 Nov 2021	357.00	358.85	341.90	344.95	340.88	86,162,288
01 Nov 2021	351.10	358.50	349.21	357.00	352.79	35,798,802
29 Oct 2021	352.20	355.30	349.21	350.20	346.07	51,773,323
28 Oct 2021	353.50	356.05	349.20	352.05	347.90	31,937,639
27 Oct 2021	358.80	361.75	354.35	357.60	353.38	31,054,647
26 Oct 2021	360.60	362.95	356.55	359.20	354.96	30,731,421
25 Oct 2021	358.55	363.10	357.50	360.65	356.39	26,259,746
22 Oct 2021	354.90	358.80	352.00	355.00	350.81	27,345,718
21 Oct 2021	361.20	363.29	355.70	356.20	352.00	38,745,935
20 Oct 2021	360.35	365.92	359.20	363.10	358.81	34,756,900
19 Oct 2021	361.45	364.44	359.55	361.95	357.68	64,669,036
18 Oct 2021	365.00	366.40	361.00	361.45	357.18	39,953,467
15 Oct 2021	361.95	365.20	360.60	363.60	359.31	35,439,104
14 Oct 2021	360.00	361.10	355.95	357.70	353.48	49,581,753
13 Oct 2021	355.30	358.00	349.65	354.95	350.76	70,908,431
12 Oct 2021	356.60	359.55	353.15	358.20	353.97	58,381,512
11 Oct 2021	355.45	361.65	354.00	360.30	356.05	39,709,454
08 Oct 2021	348.15	354.95	346.60	353.55	349.38	51,878,353
07 Oct 2021	344.40	347.40	338.30	344.80	340.73	54,104,479
06 Oct 2021	350.15	350.40	340.66	341.55	337.52	72,011,909
05 Oct 2021	344.85	354.52	343.35	350.65	346.51	73,082,543
04 Oct 2021	338.95	347.80	337.30	344.45	340.39	48,266,571
01 Oct 2021	335.65	341.30	334.10	337.95	333.96	58,623,676
30 Sept 2021	337.85	342.29	334.85	340.30	336.28	60,020,400
29 Sept 2021	334.20	338.75	328.90	338.30	334.31	54,608,329
28 Sept 2021	332.25	343.50	332.05	336.60	332.63	82,346,561
27 Sept 2021	-	-	-	-	-	-
24 Sept 2021	318.00	321.20	315.30	320.20	316.42	39,785,130
23 Sept 2021	318.40	319.30	312.35	317.75	314.00	31,378,887
22 Sept 2021	313.25	319.70	312.46	316.75	313.01	51,097,066
21 Sept 2021	305.30	313.30	305.25	308.80	305.16	50,626,001
20 Sept 2021	301.00	306.15	299.70	303.70	300.12	50,856,932
17 Sept 2021	308.50	309.55	302.75	304.65	301.05	98,600,571
16 Sept 2021	310.40	313.60	305.70	305.95	302.34	81,654,031
15 Sept 2021	299.95	311.25	299.30	309.25	305.60	71,019,810
14 Sept 2021	301.95	305.30	299.36	300.00	296.46	46,189,094
13 Sept 2021	297.10	303.15	296.94	302.30	298.73	50,617,176
10 Sept 2021	296.40	298.80	294.55	295.65	292.16	34,101,685
09 Sept 2021	293.40	295.80	291.30	294.70	291.22	48,860,637
08 Sept 2021	297.45	303.25	294.75	298.25	294.73	44,406,666
07 Sept 2021	298.05	301.65	296.85	298.40	294.88	24,785,686
06 Sept 2021	298.70	301.20	296.95	298.45	294.93	16,758,821
03 Sept 2021	299.60	301.95	296.60	296.60	293.10	35,754,065
02 Sept 2021	293.75	301.70	292.55	299.90	296.36	41,292,118
01 Sept 2021	298.10	300.95	294.25	294.25	290.78	32,877,687
31 Aug 2021	299.10	302.40	296.85	296.95	293.45	75,469,744
27 Aug 2021	296.50	303.30	296.20	302.50	298.93	25,936,073
26 Aug 2021	296.65	299.55	295.55	296.55	293.05	24,901,687
25 Aug 2021	299.00	299.80	296.60	298.35	294.83	20,469,164
24 Aug 2021	297.05	300.25	295.80	298.85	295.32	32,580,211
23 Aug 2021	292.00	297.40	291.00	295.00	291.52	42,383,976
20 Aug 2021	287.65	289.35	286.10	287.85	284.45	39,110,800
19 Aug 2021	290.55	294.25	286.70	287.75	284.35	72,940,536
18 Aug 2021	300.95	303.35	299.10	302.65	299.08	31,215,425
17 Aug 2021	294.65	304.60	292.55	302.45	298.88	36,927,308
16 Aug 2021	300.80	301.30	295.35	298.00	294.48	72,501,819
13 Aug 2021	306.30	308.50	303.89	305.35	301.75	80,590,108
12 Aug 2021	309.30	311.05	305.80	306.95	303.33	51,710,456
12 Aug 2021	3.9529 Dividend
11 Aug 2021	310.50	312.70	308.00	311.70	304.12	27,870,340
10 Aug 2021	305.20	310.12	302.35	308.90	301.38	41,907,557
09 Aug 2021	305.65	306.40	300.00	305.45	298.02	37,437,060
06 Aug 2021	305.80	308.00	303.00	307.45	299.97	37,607,345
05 Aug 2021	298.45	306.05	297.69	305.75	298.31	54,836,534
04 Aug 2021	307.20	310.65	299.20	303.00	295.63	73,708,367
03 Aug 2021	296.00	307.10	295.65	306.10	298.65	83,908,375
02 Aug 2021	292.20	295.80	289.70	289.75	282.70	31,427,948
30 Jul 2021	292.15	294.11	287.85	289.20	282.16	45,682,999
29 Jul 2021	295.25	299.90	293.15	295.65	288.46	37,771,558
28 Jul 2021	289.30	292.65	288.30	291.80	284.70	41,006,903
27 Jul 2021	295.75	295.75	288.90	291.40	284.31	30,263,430
26 Jul 2021	281.70	293.15	281.00	292.25	285.14	37,157,587
23 Jul 2021	286.00	288.10	282.05	284.10	277.19	24,361,379
22 Jul 2021	290.80	291.75	282.65	284.00	277.09	34,370,652
21 Jul 2021	281.25	291.10	279.60	289.45	282.41	53,660,767
20 Jul 2021	280.90	285.00	275.85	280.15	273.33	81,703,580
19 Jul 2021	286.00	289.20	276.30	278.45	271.67	65,451,501
16 Jul 2021	295.90	361.71	290.25	292.25	285.14	34,118,331
15 Jul 2021	300.70	305.15	293.95	296.05	288.85	67,202,302
14 Jul 2021	305.15	310.60	304.10	304.75	297.33	50,621,963
13 Jul 2021	310.00	311.10	305.15	305.90	298.46	19,229,617
12 Jul 2021	310.45	311.45	305.13	309.15	301.63	20,909,471
09 Jul 2021	307.60	311.25	304.30	310.90	303.33	31,130,565
08 Jul 2021	307.70	309.35	301.20	307.70	300.21	37,798,725
07 Jul 2021	312.60	317.69	305.95	307.70	300.21	51,089,435
06 Jul 2021	327.45	328.50	310.25	310.80	303.24	55,173,904
05 Jul 2021	321.85	324.75	320.25	324.25	316.36	13,395,844
02 Jul 2021	325.00	325.90	321.05	321.40	313.58	31,187,847
01 Jul 2021	318.15	327.20	316.00	324.50	316.60	36,468,096
30 Jun 2021	315.15	318.25	311.20	315.00	307.33	29,392,103
29 Jun 2021	315.05	319.60	313.70	316.00	308.31	20,719,788
28 Jun 2021	325.50	326.95	314.85	315.15	307.48	34,241,648
25 Jun 2021	326.90	329.25	325.50	325.50	317.58	27,770,412
24 Jun 2021	322.00	327.35	321.00	324.30	316.41	25,287,877
23 Jun 2021	323.50	329.80	323.39	324.20	316.31	34,230,187
22 Jun 2021	320.80	323.85	320.05	322.70	314.85	35,455,597
21 Jun 2021	312.60	318.90	308.70	316.85	309.14	36,399,543
18 Jun 2021	322.80	323.40	313.10	315.40	307.73	86,947,519
17 Jun 2021	327.40	334.45	323.70	324.05	316.16	59,260,059
16 Jun 2021	334.45	336.95	328.40	328.95	320.95	61,740,304
15 Jun 2021	331.15	334.60	326.56	332.70	324.60	41,382,961
14 Jun 2021	325.10	334.30	324.75	330.40	322.36	79,496,123
11 Jun 2021	325.25	326.65	322.05	324.30	316.41	29,358,280
10 Jun 2021	323.65	328.26	320.70	323.35	315.48	23,746,817
09 Jun 2021	323.70	326.45	320.70	324.75	316.85	33,239,619
08 Jun 2021	319.30	324.60	316.15	323.20	315.34	51,039,366
07 Jun 2021	319.45	322.30	315.80	319.20	311.43	15,193,805
04 Jun 2021	325.10	325.95	319.40	319.45	311.68	22,659,543
03 Jun 2021	324.00	326.10	317.70	324.10	316.21	43,079,004
02 Jun 2021	316.90	321.75	315.35	321.75	313.92	47,207,068
01 Jun 2021	308.60	316.80	308.20	314.75	307.09	85,199,886
28 May 2021	308.10	309.80	304.70	306.15	298.70	44,691,217
27 May 2021	309.00	310.10	304.60	306.55	299.09	72,964,180
26 May 2021	310.95	312.65	308.25	310.70	303.14	35,538,722
25 May 2021	317.25	317.95	310.05	310.05	302.51	26,412,542
24 May 2021	314.00	316.40	311.20	316.40	308.70	21,611,246
21 May 2021	311.05	314.60	307.55	312.20	304.60	36,899,531
20 May 2021	312.00	312.00	305.65	310.30	302.75	43,136,062
19 May 2021	310.40	314.40	305.60	308.35	300.85	57,021,039
18 May 2021	319.55	322.30	315.40	316.80	309.09	52,448,720
17 May 2021	313.90	317.00	308.45	315.40	307.73	33,293,068
14 May 2021	308.10	314.00	308.00	313.65	306.02	39,477,078
13 May 2021	309.00	327.75	301.48	308.40	300.90	54,553,767
12 May 2021	305.15	316.55	303.85	315.30	307.63	52,081,645
11 May 2021	311.80	313.55	304.60	304.60	297.19	59,601,706
10 May 2021	317.35	319.85	314.15	315.70	308.02	68,548,250
07 May 2021	318.05	318.10	309.25	313.55	305.92	61,513,557
06 May 2021	316.25	318.75	310.40	314.50	306.85	64,006,211
06 May 2021	3.7118 Dividend
05 May 2021	312.80	319.00	311.55	318.50	307.13	57,920,336
04 May 2021	305.90	315.13	305.75	310.15	299.08	67,583,503
30 Apr 2021	303.00	307.45	301.75	303.00	292.18	60,595,958
29 Apr 2021	308.00	308.25	302.00	302.00	291.22	63,107,741
28 Apr 2021	299.75	306.45	298.00	304.50	293.63	65,529,537
27 Apr 2021	307.00	307.45	294.45	295.30	284.76	57,745,765
26 Apr 2021	292.90	297.80	290.25	296.55	285.96	31,857,250
23 Apr 2021	291.15	293.50	289.80	292.10	281.67	43,951,601
22 Apr 2021	296.05	296.95	292.65	295.00	284.47	28,044,703
21 Apr 2021	295.35	299.20	292.30	295.70	285.14	38,325,296
20 Apr 2021	300.95	303.30	290.20	291.75	281.33	68,849,957
19 Apr 2021	300.70	305.74	299.35	300.85	290.11	32,154,886
16 Apr 2021	305.30	307.90	300.75	302.95	292.13	43,216,302
15 Apr 2021	309.45	310.30	302.10	303.50	292.66	35,133,837
14 Apr 2021	298.45	308.70	296.55	308.35	297.34	59,314,326
13 Apr 2021	299.20	299.50	295.45	298.25	287.60	27,915,019
12 Apr 2021	294.85	300.50	291.55	298.40	287.75	57,939,614
09 Apr 2021	298.40	299.55	293.99	295.00	284.47	48,119,553
08 Apr 2021	307.05	308.42	295.55	298.45	287.79	45,881,462
07 Apr 2021	303.35	309.90	299.85	305.45	294.54	52,343,064
06 Apr 2021	295.00	306.10	293.40	299.85	289.14	86,433,178
01 Apr 2021	296.85	296.95	289.80	289.80	279.45	48,976,567
31 Mar 2021	300.00	301.60	294.65	294.65	284.13	42,616,572
30 Mar 2021	301.70	306.55	299.20	301.50	290.74	31,140,489
29 Mar 2021	301.60	304.00	297.19	300.50	289.77	44,177,690
26 Mar 2021	299.30	304.00	297.10	302.65	291.84	55,768,753
25 Mar 2021	300.20	300.35	289.70	293.70	283.21	50,280,532
24 Mar 2021	292.70	302.65	291.61	301.55	290.78	55,064,907
23 Mar 2021	302.45	303.05	294.15	295.75	285.19	93,977,665
